Time	Type	Amount	Symbol
10/6/2025 16:13	Commission	-0.01974171 USDT	HYPEUSDT
10/6/2025 16:10	Realized PNL	2.17929760 USDT	HYPEUSDT
10/6/2025 16:10	Commission	-0.01077061 USDT	HYPEUSDT
10/6/2025 16:10	Realized PNL	1.81527239 USDT	HYPEUSDT
10/6/2025 16:10	Commission	-0.00897151 USDT	HYPEUSDT
10/6/2025 13:00	Funding fee	0.17281904 USDT	HYPEUSDT
10/6/2025 9:13	Commission	-0.08262525 USDT	HYPEUSDT
10/6/2025 9:00	Funding fee	0.06135839 USDT	HYPEUSDT
10/6/2025 9:00	Funding fee	0.14913078 USDT	BNBUSDT
10/6/2025 9:00	Funding fee	0.00233624 USDT	ETHUSDT
10/6/2025 7:32	Realized PNL	0.54677999 USDT	FARTCOINUSDT
10/6/2025 7:32	Commission	-0.00281093 USDT	FARTCOINUSDT
10/6/2025 5:00	Funding fee	0.01916517 USDT	HYPEUSDT
10/6/2025 5:00	Funding fee	-0.00274288 USDT	FARTCOINUSDT
10/6/2025 1:00	Funding fee	0.01924497 USDT	HYPEUSDT
10/6/2025 1:00	Funding fee	-0.00273717 USDT	FARTCOINUSDT
10/6/2025 1:00	Funding fee	0.40091682 USDT	BNBUSDT
10/6/2025 1:00	Funding fee	0.00226608 USDT	ETHUSDT
10/5/2025 23:53	Commission	-0.15277500 USDT	BNBUSDT
10/5/2025 23:53	Commission	-0.05516875 USDT	BNBUSDT
10/5/2025 23:53	Commission	-0.05516875 USDT	BNBUSDT
10/5/2025 23:52	Commission	-0.01239233 USDT	FARTCOINUSDT
10/5/2025 23:36	Commission	-0.08991990 USDT	BNBUSDT
10/5/2025 23:36	Commission	-0.00856520 USDT	BNBUSDT
10/5/2025 23:36	Commission	-0.04710860 USDT	BNBUSDT
10/5/2025 23:36	Commission	-0.00800187 USDT	ETHUSDT
10/5/2025 23:35	Realized PNL	4.35189999 USDT	ENAUSDT
10/5/2025 23:35	Commission	-0.04497779 USDT	ENAUSDT
10/5/2025 23:33	Realized PNL	3.52359999 USDT	ETHUSDT
10/5/2025 23:33	Commission	-0.03560934 USDT	ETHUSDT
10/5/2025 23:30	Realized PNL	0.00363866 USDT	SUIUSDT
10/5/2025 23:30	Commission	-0.00012582 USDT	SUIUSDT
10/5/2025 23:30	Realized PNL	2.65085604 USDT	SUIUSDT
10/5/2025 23:30	Commission	-0.02684792 USDT	SUIUSDT
10/5/2025 23:29	Realized PNL	2.51955528 USDT	SUIUSDT
10/5/2025 23:29	Commission	-0.02551811 USDT	SUIUSDT
10/5/2025 23:01	Realized PNL	0.21090000 USDT	AVNTUSDT
10/5/2025 23:01	Commission	-0.00214757 USDT	AVNTUSDT
10/5/2025 22:12	Commission	-0.07791588 USDT	ENAUSDT
10/5/2025 22:10	Commission	-0.04360545 USDT	ENAUSDT
10/5/2025 22:03	Commission	-0.01346733 USDT	ENAUSDT
10/5/2025 22:03	Commission	-0.00060311 USDT	ENAUSDT
10/5/2025 22:03	Commission	-0.00824264 USDT	ENAUSDT
10/5/2025 22:03	Commission	-0.00462231 USDT	ENAUSDT
10/5/2025 21:55	Commission	-0.00744236 USDT	ENAUSDT
10/5/2025 21:47	Commission	-0.00744268 USDT	AVNTUSDT
10/5/2025 21:00	Funding fee	0.05840177 USDT	HYPEUSDT
10/5/2025 21:00	Funding fee	-0.00278889 USDT	FARTCOINUSDT
10/5/2025 19:48	Realized PNL	0.17680000 USDT	AVNTUSDT
10/5/2025 19:48	Commission	-0.00181344 USDT	AVNTUSDT
10/5/2025 19:30	Commission	-0.00314272 USDT	AVNTUSDT
10/5/2025 19:30	Commission	-0.00314244 USDT	AVNTUSDT
10/5/2025 18:45	Commission	-0.02224458 USDT	HYPEUSDT
10/5/2025 18:45	Commission	-0.02224458 USDT	HYPEUSDT
10/5/2025 18:37	Realized PNL	0.20520000 USDT	SOLUSDT
10/5/2025 18:37	Commission	-0.00208134 USDT	SOLUSDT
10/5/2025 18:27	Realized PNL	4.52246199 USDT	PUMPUSDT
10/5/2025 18:27	Commission	-0.04622988 USDT	PUMPUSDT
10/5/2025 18:26	Commission	-0.04133499 USDT	BNBUSDT
10/5/2025 18:26	Commission	-0.04133499 USDT	BNBUSDT
10/5/2025 18:22	Commission	-0.01237005 USDT	BNBUSDT
10/5/2025 18:22	Commission	-0.01237215 USDT	BNBUSDT
10/5/2025 17:47	Commission	-0.00721287 USDT	SOLUSDT
10/5/2025 17:47	Commission	-0.01228469 USDT	HYPEUSDT
10/5/2025 17:20	Commission	-0.00680960 USDT	HYPEUSDT
10/5/2025 17:19	Commission	-0.00410654 USDT	BNBUSDT
10/5/2025 17:19	Realized PNL	7.65700000 USDT	BNBUSDT
10/5/2025 17:19	Commission	-0.07859099 USDT	BNBUSDT
10/5/2025 17:19	Realized PNL	9.21622999 USDT	DOGEUSDT
10/5/2025 17:19	Commission	-0.09362518 USDT	DOGEUSDT
10/5/2025 17:17	Realized PNL	2.23670000 USDT	ENAUSDT
10/5/2025 17:17	Commission	-0.02259456 USDT	ENAUSDT
10/5/2025 17:17	Realized PNL	0.81553188 USDT	XRPUSDT
10/5/2025 17:17	Commission	-0.00827038 USDT	XRPUSDT
10/5/2025 17:17	Realized PNL	0.07654811 USDT	XRPUSDT
10/5/2025 17:17	Commission	-0.00077628 USDT	XRPUSDT
10/5/2025 17:10	Commission	-0.03832069 USDT	ENAUSDT
10/5/2025 17:10	Commission	-0.01296960 USDT	ENAUSDT
10/5/2025 17:10	Commission	-0.00830865 USDT	ENAUSDT
10/5/2025 17:00	Funding fee	0.00256208 USDT	HYPEUSDT
10/5/2025 17:00	Funding fee	0.03211241 USDT	PUMPUSDT
10/5/2025 17:00	Funding fee	-0.00525701 USDT	ENAUSDT
10/5/2025 17:00	Funding fee	-0.00098285 USDT	FARTCOINUSDT
10/5/2025 17:00	Funding fee	-0.05196848 USDT	SUIUSDT
10/5/2025 17:00	Funding fee	-0.12819382 USDT	BNBUSDT
10/5/2025 17:00	Funding fee	-0.00899361 USDT	XRPUSDT
10/5/2025 17:00	Funding fee	-0.05549760 USDT	DOGEUSDT
10/5/2025 17:00	Funding fee	-0.03520558 USDT	ETHUSDT
10/5/2025 16:59	Commission	-0.00371240 USDT	HYPEUSDT
10/5/2025 15:55	Realized PNL	14.00740690 USDT	HYPEUSDT
10/5/2025 15:55	Commission	-0.14164016 USDT	HYPEUSDT
10/5/2025 15:55	Realized PNL	0.36271309 USDT	HYPEUSDT
10/5/2025 15:55	Commission	-0.00366768 USDT	HYPEUSDT
10/5/2025 15:02	Realized PNL	0.31680000 USDT	SOLUSDT
10/5/2025 15:02	Commission	-0.00320922 USDT	SOLUSDT
10/5/2025 15:01	Realized PNL	1.41170000 USDT	WLFIUSDT
10/5/2025 15:01	Commission	-0.01443108 USDT	WLFIUSDT
10/5/2025 13:00	Commission	-0.01697892 USDT	WLFIUSDT
10/5/2025 13:00	Commission	-0.00303688 USDT	WLFIUSDT
10/5/2025 13:00	Commission	-0.00455532 USDT	WLFIUSDT
10/5/2025 13:00	Funding fee	-1.01322004 USDT	HYPEUSDT
10/5/2025 13:00	Funding fee	-0.01743553 USDT	WLFIUSDT
10/5/2025 13:00	Funding fee	0.06441742 USDT	PUMPUSDT
10/5/2025 13:00	Funding fee	-0.00149920 USDT	FARTCOINUSDT
10/5/2025 12:58	Commission	-0.01681891 USDT	XRPUSDT
10/5/2025 12:51	Commission	-0.07869428 USDT	SUIUSDT
